"t","toy","p","Ws1","Wd1","T1","Ws2","Wd2","T2","Ws3","Wd3","T3"
1999-01-04 10:00:00,3.417,16.065,11.8,162.8,275.1,11.8,162.8,275.1,11.8,162.8,275.1
1999-01-04 11:00:00,3.458,18.404,13.4,164,275.1,13.4,164,275.1,13.4,164,275.1
1999-01-04 12:00:00,3.5,19.51,13.5,173.6,275.2,13.5,173.6,275.2,13.5,173.6,275.2
1999-01-04 13:00:00,3.542,19.788,12.9,176.9,276.3,13.7,181.7,275.6,13.7,181.7,275.6
1999-01-04 14:00:00,3.583,15.221,13.1,213.4,277.2,13.1,213.4,277.2,12.6,207,276.5
1999-01-04 15:00:00,3.625,13.569,11.8,235.4,279.1,11.8,235.4,279.1,11.8,235.4,279.1
1999-01-04 16:00:00,3.667,14.771,10.6,233.5,279.3,10.6,233.5,279.3,10.6,233.5,279.3
1999-01-04 17:00:00,3.708,16.759,12.5,232.1,278.7,12.5,232.1,278.7,12.5,232.1,278.7
1999-01-04 18:00:00,3.75,16.512,14.8,238.2,278.5,14.8,238.2,278.5,14.8,238.2,278.5
1999-01-04 19:00:00,3.792,20.19,15.7,238.8,278.7,16.6,239.3,278.4,16.6,239.3,278.4
1999-01-04 20:00:00,3.833,20.297,16.4,235,278.3,16.4,235,278.3,17.1,237.1,278
1999-01-04 21:00:00,3.875,20.246,17.8,235.8,278.1,17.8,235.8,278.1,17.8,235.8,278.1
1999-01-04 22:00:00,3.917,20.277,20.4,243.6,278.1,20.4,243.6,278.1,20.4,243.6,278.1
1999-01-04 23:00:00,3.958,20.276,21,247.6,278.2,21,247.6,278.2,21,247.6,278.2
1999-01-05 00:00:00,4,20.187,19.7,247,278,19.7,247,278,19.7,247,278
1999-01-05 01:00:00,4.042,20.207,17.1,249.8,278.2,18.7,256.1,278.1,18.7,256.1,278.1
1999-01-05 02:00:00,4.083,20.234,18.4,250.7,278.3,18.4,250.7,278.3,19.5,254.3,278
1999-01-05 03:00:00,4.125,20.201,19.3,252.5,278,19.3,252.5,278,19.3,252.5,278
1999-01-05 04:00:00,4.167,20.063,18.6,253.1,277.9,18.6,253.1,277.9,18.6,253.1,277.9
1999-01-05 05:00:00,4.208,19.971,17.8,255.3,278.1,17.8,255.3,278.1,17.8,255.3,278.1
1999-01-05 06:00:00,4.25,19.29,16.8,256.5,278,16.8,256.5,278,16.8,256.5,278
1999-01-05 07:00:00,4.292,18.783,15.3,252.2,278.1,15.3,256.8,278,15.3,256.8,278
1999-01-05 08:00:00,4.333,18.698,14.5,250.2,278.1,14.5,250.2,278.1,14.5,254.8,278
1999-01-05 09:00:00,4.375,16.912,14.2,254.1,278.1,14.2,254.1,278.1,14.2,254.1,278.1
1999-01-05 10:00:00,4.417,17.637,13.4,259.3,278,13.4,259.3,278,13.4,259.3,278
1999-01-05 11:00:00,4.458,13.848,11.8,262.7,278,11.8,262.7,278,11.8,262.7,278
1999-01-05 12:00:00,4.5,9.319,10.2,267.8,278,10.2,267.8,278,10.2,267.8,278
1999-01-05 13:00:00,4.542,6.626,9.8,270.6,278.3,8.5,268.7,278.1,8.5,268.7,278.1
1999-01-05 14:00:00,4.583,2.513,8.9,264.9,278.2,8.9,264.9,278.2,7.6,259.4,278
1999-01-05 15:00:00,4.625,2.05,8.8,256.9,278,8.8,256.9,278,8.8,256.9,278
1999-01-05 16:00:00,4.667,2.812,7.1,251.8,277.7,7.1,251.8,277.7,7.1,251.8,277.7
1999-01-05 17:00:00,4.708,4.576,6.3,235.3,277.6,6.3,235.3,277.6,6.3,235.3,277.6
1999-01-05 18:00:00,4.75,5.507,6.5,235.1,277.5,6.5,235.1,277.5,6.5,235.1,277.5
1999-01-05 19:00:00,4.792,3.158,4.9,212.4,277.9,5,229.9,277.2,5,229.9,277.2
1999-01-05 20:00:00,4.833,2.263,5.1,191.3,277.7,5.1,191.3,277.7,4.3,219.3,277
1999-01-05 21:00:00,4.875,0.922,4,187.1,277.4,4,187.1,277.4,4,187.1,277.4
1999-01-05 22:00:00,4.917,0.831,3.7,162.6,277.3,3.7,162.6,277.3,3.7,162.6,277.3
1999-01-05 23:00:00,4.958,1.997,5.1,149.4,277.4,5.1,149.4,277.4,5.1,149.4,277.4
1999-01-06 00:00:00,5,3.145,4.9,159.7,277.6,4.9,159.7,277.6,4.9,159.7,277.6
1999-01-06 01:00:00,5.042,9.276,5,210.2,278.4,4.1,202.8,278.2,4.1,202.8,278.2
1999-01-06 02:00:00,5.083,5.672,7.8,241.8,278.9,7.8,241.8,278.9,5.6,240.3,278.7
1999-01-06 03:00:00,5.125,9.604,9.6,244,279.1,9.6,244,279.1,9.6,244,279.1
1999-01-06 04:00:00,5.167,12.007,10.3,238.5,279.1,10.3,238.5,279.1,10.3,238.5,279.1
1999-01-06 05:00:00,5.208,14.577,11.3,239.1,279,11.3,239.1,279,11.3,239.1,279
1999-01-06 06:00:00,5.25,16.799,11.9,236.3,278.9,11.9,236.3,278.9,11.9,236.3,278.9
1999-01-06 07:00:00,5.292,18.489,12.9,237.7,280.2,11.6,238.8,279.1,11.6,238.8,279.1
1999-01-06 08:00:00,5.333,19.363,13.7,243.6,280.1,13.7,243.6,280.1,13.1,236.8,279.3
1999-01-06 09:00:00,5.375,18.821,13.2,248.3,280.2,13.2,248.3,280.2,13.2,248.3,280.2
1999-01-06 10:00:00,5.417,15.975,12.7,246.9,280.2,12.7,246.9,280.2,12.7,246.9,280.2
1999-01-06 11:00:00,5.458,14.025,12.8,241.4,279.9,12.8,241.4,279.9,12.8,241.4,279.9
1999-01-06 12:00:00,5.5,14.831,13,240.1,279.5,13,240.1,279.5,13,240.1,279.5
1999-01-06 13:00:00,5.542,12.824,11.5,243.2,279.9,13.5,239.3,279.2,13.5,239.3,279.2
1999-01-06 14:00:00,5.583,6.659,11.8,247.1,279.8,11.8,247.1,279.8,13.7,240.6,279.1
1999-01-06 15:00:00,5.625,4.003,12.3,254.5,279.6,12.3,254.5,279.6,12.3,254.5,279.6
1999-01-06 16:00:00,5.667,7.423,10.4,243.2,279.2,10.4,243.2,279.2,10.4,243.2,279.2
1999-01-06 17:00:00,5.708,4.767,11.4,249.5,278.9,11.4,249.5,278.9,11.4,249.5,278.9
1999-01-06 18:00:00,5.75,4.338,10.9,261.1,278.5,10.9,261.1,278.5,10.9,261.1,278.5
1999-01-06 19:00:00,5.792,11.329,8.9,289.7,278,10.7,291.3,277.7,10.7,291.3,277.7
1999-01-06 20:00:00,5.833,7.826,9.2,294.3,277.6,9.2,294.3,277.6,12.2,288.6,277.4
1999-01-06 21:00:00,5.875,4.806,9.2,288.4,277.5,9.2,288.4,277.5,9.2,288.4,277.5
1999-01-06 22:00:00,5.917,4.768,9.6,287.5,277.5,9.6,287.5,277.5,9.6,287.5,277.5
1999-01-06 23:00:00,5.958,3.181,10.1,291,277.1,10.1,291,277.1,10.1,291,277.1
1999-01-07 00:00:00,6,0.417,9.4,289.2,277.1,9.4,289.2,277.1,9.4,289.2,277.1
1999-01-07 01:00:00,6.042,0.182,7.3,286.7,277.8,9.2,298.5,277.1,9.2,298.5,277.1
1999-01-07 02:00:00,6.083,1.209,7.1,300.5,277.5,7.1,300.5,277.5,8.3,304.7,277
1999-01-07 03:00:00,6.125,0.139,6.6,342.4,276.9,6.6,342.4,276.9,6.6,342.4,276.9
1999-01-07 04:00:00,6.167,0.01,9.2,32.1,275.7,9.2,32.1,275.7,9.2,32.1,275.7
1999-01-07 05:00:00,6.208,0.008,9.4,35,274.7,9.4,35,274.7,9.4,35,274.7
1999-01-07 06:00:00,6.25,0.01,7.5,35.8,274.4,7.5,35.8,274.4,7.5,35.8,274.4
1999-01-07 07:00:00,6.292,0.053,5.2,26.1,273.9,6.6,33.2,274.1,6.6,33.2,274.1
1999-01-07 08:00:00,6.333,0.056,5.4,9.6,274,5.4,9.6,274,6.5,25.4,273.9
1999-01-07 09:00:00,6.375,0.01,6.2,12,274.1,6.2,12,274.1,6.2,12,274.1
1999-01-07 10:00:00,6.417,0.009,5.5,5.2,273.9,5.5,5.2,273.9,5.5,5.2,273.9
1999-01-07 11:00:00,6.458,0.01,5.4,0,274.1,5.4,0,274.1,5.4,0,274.1
1999-01-07 12:00:00,6.5,0.011,4.6,7.4,274.2,4.6,7.4,274.2,4.6,7.4,274.2
1999-01-07 13:00:00,6.542,0.047,2.4,36.4,274.3,3.9,13.3,274.2,3.9,13.3,274.2
1999-01-07 14:00:00,6.583,0.011,1,29.1,274.3,1,29.1,274.3,3,3.8,274.2
1999-01-07 15:00:00,6.625,0.01,0.3,180,274.3,0.3,180,274.3,0.3,180,274.3
1999-01-07 16:00:00,6.667,0.013,1.6,194.9,274.4,1.6,194.9,274.4,1.6,194.9,274.4
1999-01-07 17:00:00,6.708,0.009,1.8,183.2,274.5,1.8,183.2,274.5,1.8,183.2,274.5
1999-01-07 18:00:00,6.75,0.015,2.1,174.6,274.7,2.1,174.6,274.7,2.1,174.6,274.7
1999-01-07 19:00:00,6.792,0.015,3.6,97.9,274.4,3,145.8,274.6,3,145.8,274.6
1999-01-07 20:00:00,6.833,0.015,4.9,112.9,274,4.9,112.9,274,4.9,147.6,274.5
1999-01-07 21:00:00,6.875,0.011,5.5,126.9,273.5,5.5,126.9,273.5,5.5,126.9,273.5
1999-01-07 22:00:00,6.917,0.006,5.9,137.7,273.2,5.9,137.7,273.2,5.9,137.7,273.2
1999-01-07 23:00:00,6.958,0.533,5.9,143.3,273.5,5.9,143.3,273.5,5.9,143.3,273.5
1999-01-08 00:00:00,7,0.044,5.3,148.1,274.1,5.3,148.1,274.1,5.3,148.1,274.1
1999-01-08 01:00:00,7.042,0.044,5.7,118.4,273.6,5,136.6,274.2,5,136.6,274.2
1999-01-08 02:00:00,7.083,0.017,6.2,113.7,273.3,6.2,113.7,273.3,5.4,125.2,274
1999-01-08 03:00:00,7.125,0.072,6.5,113.4,273.2,6.5,113.4,273.2,6.5,113.4,273.2
1999-01-08 04:00:00,7.167,1.181,6.5,107.9,273.2,6.5,107.9,273.2,6.5,107.9,273.2
1999-01-08 05:00:00,7.208,1.6,6.9,102.6,273.1,6.9,102.6,273.1,6.9,102.6,273.1
1999-01-08 06:00:00,7.25,1.846,6.9,90.8,273.1,6.9,90.8,273.1,6.9,90.8,273.1
1999-01-08 07:00:00,7.292,2.605,6.8,82.3,273,6.9,89.2,273.1,6.9,89.2,273.1
1999-01-08 08:00:00,7.333,3.556,6.9,80.8,272.8,6.9,80.8,272.8,6.9,86.7,273
1999-01-08 09:00:00,7.375,2.391,7.6,73.2,272.6,7.6,73.2,272.6,7.6,73.2,272.6
1999-01-08 10:00:00,7.417,0.839,7.7,75.8,272.4,7.7,75.8,272.4,7.7,75.8,272.4
1999-01-08 11:00:00,7.458,0.165,7.3,79,272.3,7.3,79,272.3,7.3,79,272.3
1999-01-08 12:00:00,7.5,0.833,7,80.1,272.2,7,80.1,272.2,7,80.1,272.2
1999-01-08 13:00:00,7.542,1.265,6.4,60.3,272.1,6.6,76,272.1,6.6,76,272.1
1999-01-08 14:00:00,7.583,1.956,6.2,50.9,272.4,6.2,50.9,272.4,6.2,72.1,272.2
1999-01-08 15:00:00,7.625,2.872,7,42.1,272.6,7,42.1,272.6,7,42.1,272.6
1999-01-08 16:00:00,7.667,3.148,8.7,40.8,272.5,8.7,40.8,272.5,8.7,40.8,272.5
1999-01-08 17:00:00,7.708,3.1,8.6,45.5,272.6,8.6,45.5,272.6,8.6,45.5,272.6
1999-01-08 18:00:00,7.75,3.977,7.6,50.9,272.6,7.6,50.9,272.6,7.6,50.9,272.6
1999-01-08 19:00:00,7.792,2.911,6.9,48,272.3,7.4,52.7,272.3,7.4,52.7,272.3
1999-01-08 20:00:00,7.833,2.478,6.6,53.7,272.4,6.6,53.7,272.4,6.6,59.2,272.3
1999-01-08 21:00:00,7.875,1.196,5.7,54.9,272.4,5.7,54.9,272.4,5.7,54.9,272.4
1999-01-08 22:00:00,7.917,1.111,5.5,45,272.5,5.5,45,272.5,5.5,45,272.5
1999-01-08 23:00:00,7.958,1.926,6.9,36.7,272.7,6.9,36.7,272.7,6.9,36.7,272.7
1999-01-09 00:00:00,8,0.815,7.2,36.6,272.9,7.2,36.6,272.9,7.2,36.6,272.9
1999-01-09 01:00:00,8.042,1.32,6.1,30.3,272.7,7.1,34.1,272.8,7.1,34.1,272.8
1999-01-09 02:00:00,8.083,1.386,5.7,22.5,272.4,5.7,22.5,272.4,6.5,33.7,272.4
1999-01-09 03:00:00,8.125,1.996,5.5,15.8,272.1,5.5,15.8,272.1,5.5,15.8,272.1
1999-01-09 04:00:00,8.167,1.403,6.6,11.3,272,6.6,11.3,272,6.6,11.3,272
1999-01-09 05:00:00,8.208,1.017,6.7,9.5,272,6.7,9.5,272,6.7,9.5,272
1999-01-09 06:00:00,8.25,1.174,7.2,8,272.2,7.2,8,272.2,7.2,8,272.2
1999-01-09 07:00:00,8.292,1.408,6.9,17.7,272.3,7.3,15.9,272.6,7.3,15.9,272.6
1999-01-09 08:00:00,8.333,0.095,6.3,17.6,272.5,6.3,17.6,272.5,6.7,18.2,272.7
1999-01-09 09:00:00,8.375,0.001,6.1,19,272.7,6.1,19,272.7,6.1,19,272.7
1999-01-09 10:00:00,8.417,0.003,6.4,24.1,272.6,6.4,24.1,272.6,6.4,24.1,272.6
1999-01-09 11:00:00,8.458,0.01,6.4,29,272.6,6.4,29,272.6,6.4,29,272.6
1999-01-09 12:00:00,8.5,0.011,5.8,30.1,272.6,5.8,30.1,272.6,5.8,30.1,272.6
1999-01-09 13:00:00,8.542,0.036,4.9,26.6,272.2,5.7,32.9,272.5,5.7,32.9,272.5
1999-01-09 14:00:00,8.583,0.138,4.4,24.2,272.2,4.4,24.2,272.2,5,35.3,272.5
1999-01-09 15:00:00,8.625,0.01,4.6,23.2,272.2,4.6,23.2,272.2,4.6,23.2,272.2
1999-01-09 16:00:00,8.667,0.177,4.2,26.6,272.2,4.2,26.6,272.2,4.2,26.6,272.2
1999-01-09 17:00:00,8.708,0.019,3.7,27.3,272.3,3.7,27.3,272.3,3.7,27.3,272.3
1999-01-09 18:00:00,8.75,0.015,3.2,41.2,272.3,3.2,41.2,272.3,3.2,41.2,272.3
1999-01-09 19:00:00,8.792,0.009,3.2,46.3,272,2.5,48.2,272.4,2.5,48.2,272.4
1999-01-09 20:00:00,8.833,0,3.4,69.4,272,3.4,69.4,272,2.5,66.5,272.5
1999-01-09 21:00:00,8.875,0,2.6,81.3,272.1,2.6,81.3,272.1,2.6,81.3,272.1
1999-01-09 22:00:00,8.917,0,2,90,272.1,2,90,272.1,2,90,272.1
1999-01-09 23:00:00,8.958,0,0.3,18.4,272.1,0.3,18.4,272.1,0.3,18.4,272.1
1999-01-10 00:00:00,9,0,1.1,311.2,272.1,1.1,311.2,272.1,1.1,311.2,272.1
1999-01-10 01:00:00,9.042,0,1.1,37.9,271.6,1.4,342.9,272.1,1.4,342.9,272.1
1999-01-10 02:00:00,9.083,0,1.1,48.8,271.6,1.1,48.8,271.6,1.4,4.1,272.1
1999-01-10 03:00:00,9.125,0,0.9,110.6,271.6,0.9,110.6,271.6,0.9,110.6,271.6
1999-01-10 04:00:00,9.167,0,0.4,76,271.5,0.4,76,271.5,0.4,76,271.5
1999-01-10 05:00:00,9.208,0,0.8,299.7,271.6,0.8,299.7,271.6,0.8,299.7,271.6
1999-01-10 06:00:00,9.25,0,0.9,276.3,271.6,0.9,276.3,271.6,0.9,276.3,271.6
1999-01-10 07:00:00,9.292,0,0.1,0,271.2,0.8,246.8,271.6,0.8,246.8,271.6
1999-01-10 08:00:00,9.333,0.001,0.6,301,271.2,0.6,301,271.2,1.1,264.8,271.6
1999-01-10 09:00:00,9.375,0,1.3,208.6,271.2,1.3,208.6,271.2,1.3,208.6,271.2
1999-01-10 10:00:00,9.417,0,2.5,213.7,271,2.5,213.7,271,2.5,213.7,271
1999-01-10 11:00:00,9.458,0,2.5,208.6,271,2.5,208.6,271,2.5,208.6,271
1999-01-10 12:00:00,9.5,0,2.9,215.3,270.9,2.9,215.3,270.9,2.9,215.3,270.9
1999-01-10 13:00:00,9.542,0,3,195.4,271.3,2.7,222,271,2.7,222,271
1999-01-10 14:00:00,9.583,0,2.3,182.5,271.3,2.3,182.5,271.3,2.1,230.9,271
1999-01-10 15:00:00,9.625,0,3,166.4,271.1,3,166.4,271.1,3,166.4,271.1
1999-01-10 16:00:00,9.667,0,3.5,168.4,271,3.5,168.4,271,3.5,168.4,271
1999-01-10 17:00:00,9.708,0,3.4,175,270.9,3.4,175,270.9,3.4,175,270.9
1999-01-10 18:00:00,9.75,0.001,3.7,173.8,270.8,3.7,173.8,270.8,3.7,173.8,270.8
1999-01-10 19:00:00,9.792,0,3.5,136.2,270.5,3.1,163.3,270.6,3.1,163.3,270.6
1999-01-10 20:00:00,9.833,0.01,3.5,152.7,270.5,3.5,152.7,270.5,3.4,164.7,270.5
1999-01-10 21:00:00,9.875,0.006,2.2,136.8,270.3,2.2,136.8,270.3,2.2,136.8,270.3
1999-01-10 22:00:00,9.917,0.002,2.1,144.8,270.3,2.1,144.8,270.3,2.1,144.8,270.3
1999-01-10 23:00:00,9.958,0.112,3,132.3,270.3,3,132.3,270.3,3,132.3,270.3
1999-01-11 00:00:00,10,0.422,3.6,122.3,270.2,3.6,122.3,270.2,3.6,122.3,270.2
1999-01-11 01:00:00,10.042,0.542,3.9,100.4,269.8,2.8,115.6,270.1,2.8,115.6,270.1
1999-01-11 02:00:00,10.083,0.023,4.3,91.3,269.8,4.3,91.3,269.8,3.1,101.3,270.1
1999-01-11 03:00:00,10.125,0.064,5.4,88.9,269.7,5.4,88.9,269.7,5.4,88.9,269.7
1999-01-11 04:00:00,10.167,0.135,5.9,98.8,269.7,5.9,98.8,269.7,5.9,98.8,269.7
1999-01-11 05:00:00,10.208,0.45,4.8,88.8,269.8,4.8,88.8,269.8,4.8,88.8,269.8
1999-01-11 06:00:00,10.25,0.941,5.5,74.2,270,5.5,74.2,270,5.5,74.2,270
1999-01-11 07:00:00,10.292,0.698,6.4,64.2,270.2,6.1,77.8,270,6.1,77.8,270
1999-01-11 08:00:00,10.333,0.735,6.3,71.6,270.3,6.3,71.6,270.3,5.7,79.9,270.1
1999-01-11 09:00:00,10.375,0.215,7.2,68.1,270.3,7.2,68.1,270.3,7.2,68.1,270.3
1999-01-11 10:00:00,10.417,1.262,7.2,68.8,270.3,7.2,68.8,270.3,7.2,68.8,270.3
1999-01-11 11:00:00,10.458,5.16,6.7,72.6,270.2,6.7,72.6,270.2,6.7,72.6,270.2
1999-01-11 12:00:00,10.5,4.265,6.5,65.4,270.3,6.5,65.4,270.3,6.5,65.4,270.3
1999-01-11 13:00:00,10.542,6.838,7,58.3,270.5,7,58.3,270.5,7,58.3,270.5
1999-01-11 14:00:00,10.583,5.506,7.8,58.2,270.5,7.8,58.2,270.5,7.8,58.2,270.5
1999-01-11 15:00:00,10.625,3.55,7.8,59.8,270.6,7.8,59.8,270.6,7.8,59.8,270.6
1999-01-11 16:00:00,10.667,1.853,7.9,60.5,270.7,7.9,60.5,270.7,7.9,60.5,270.7
